pair,direction,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
iotabtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,3827.3300000000004,35674.70000708227,28129.556316635626,12992.00600730128,225308.8954896168,567107.0330929148,27958.776803797045,20876.6682720605,12757.190000000059,16422.74020765034,6898.458898166615
iotausdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,5520.433599999978,99314.95907150993,57523.53687381705,52029.563436563396,56342.57070000014,46979.32600000027,64856.603000000214,20731.635500000117,22605.79730000014,28235.221900000164,9286.082399999985
iotausdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,6989.892099999979,83393.1528337073,63151.89973819483,92624.40556563712,31789.537445123926,55751.47012738479,111847.77565025653,36526.92657850014,31344.739044365135,27581.668819333012,5941.441898573149
ltcbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,53.02839999999999,625.8557999999995,831.6124999999998,563.1244,1161.2359000000004,171.66810000000004,277.6644,235.34890000000004,278.40860000000004,222.51629999999997,143.3781999999999
ltcbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2538,421.8896000000002,721.4274999999998,574.7577000000001,713.9315,342.2326,157.22469999999996,203.11289999999997,267.96299999999985,164.22610000000006,96.87210000000002
ltcusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,633.4471,4473.053999999989,2919.0946983734143,6092.733083475607,3530.032200000003,1935.9661000000015,2287.9854000000023,1856.7989000000005,1210.2308000000012,2165.8671000000013,860.5948999999995
ltcusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,517.3472698048711,4691.585344987581,3795.7505072978347,8956.331622440604,3225.164275874193,2381.9415057031642,2465.7967999999987,1627.973335801589,1779.0931652328688,1422.3856712828322,910.5310950497318
omgbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,1402.8407999999997,4626.9664,5044.3034,4877.688399999999,6748.638399999995,4096.754100000002,1572.9630000000002,3279.8493000000008,3091.0158,2925.9248604608865,2590.800800000001
omgbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,1464.7378,4921.226200000002,3074.593595784035,4873.167974650173,9596.99142598732,2372.020913269521,1460.4033862584995,5945.816683236186,7145.464789475148,3095.9234555050857,1958.6683964264103
omgusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,11008.063734013607,23128.5649397465,15527.0315,23270.932388342513,21480.76120000001,4208.946000000002,11201.817500000005,9159.435999999992,8133.887599999999,7795.1987,7410.307000000001
omgusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,4869.3074,20465.124861870718,20054.301286388774,30215.211849803727,21192.06798760455,4296.101199999997,8104.391247808436,7903.858,9374.717741884444,10584.362510243476,10474.302900000002
steembtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,4211.099999999999,56728.60000000006,22416.037866423478,11918.216931215158,8792.380000000006,2652.840000000002,1762.4999923847104,2180.819999999995,5605.188447489863,11094.340258355163,3610.6744081632646
steembtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,3583.886102902829,30564.28319368109,15509.016662488195,6562.688868850831,8708.378696182377,4272.238792912325,1708.0108393921505,1584.6059733464203,5607.596830088041,5842.957655814092,5394.388749428949
steemusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,10388.425300000008,70027.33111042842,30465.124099999997,36833.321200000006,8469.416200000003,5646.862599999991,1918.7505000000006,2001.277000000001,9844.8279,2278.2909999999993,2506.7301799045217
steemusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,9172.8412,44248.93215527381,33350.9208583934,29482.079113729204,4555.754375638552,1191.6623338885802,2942.4772000000007,5541.001000000006,3125.1277518170978,8609.447100000001,3088.884940190955
xrpbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,18158.0,491313.0,466596.0,487415.0,248000.0,126047.0,86423.0,285920.0,435245.0,142582.0,124001.0
xrpbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,29612.0,379669.24884199427,534852.2836325702,447253.0130305905,321899.1749404555,191158.290181486,150814.9590973856,249964.28411391826,536779.4002681748,242460.84839396828,98524.0
xrpusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,247743.71000000005,1935560.8044820451,2315110.421775619,2177270.8205225193,1267570.3067704234,738395.2499999993,905569.8400000007,720159.1536389533,971276.7984098035,1149259.575464532,702836.7254055154
xrpusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,213597.42132968834,2380328.0975188995,2350018.610858604,2717771.147999748,1971343.6282134787,648123.7785023927,666521.7877104575,1090467.8627018412,934254.4546457235,1347754.4605055985,866011.377867793
zecbtc,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,32.380799999999994,163.68354137931036,215.59460000000004,160.1213000000001,195.30049999999994,131.87700000000004,128.9479,178.98649999999995,261.5079000000001,180.80430000000004,136.1247
zecbtc,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,33.668632344458175,173.14241829946627,267.15279372263757,212.83781114072679,237.2548938687849,202.97805172315174,149.73460000000003,248.23119187891072,338.7116440125141,181.77646257820425,161.62021774529637
zecusdt,sell,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0796,167.62170000000003,178.1171208615701,183.13630000000003,179.41560000000007,107.41109999999998,224.05670000000003,244.60809999999998,216.862,305.2803999999999,115.5201
zecusdt,buy,0,0,0,0,0,0,0,0,0,0,0,0,0,8.449060431307979,187.0985673396185,529.2088211046156,243.46881745313746,110.14492284471736,173.01372866611104,374.1672999999999,193.28823518770668,280.56260238003557,288.48559999999986,84.39840062694905
